,yyyymmdd,NO$_2$/CO,Fire Name,Mean HWP,Mean HWP Bin,NO$_2$/CO + min
228,20210830T195715,0.000270325067579314,Monument,52.358283785000005,"[52.0, 60.0)",0.000770325067579314
229,20210901T210029,0.0001899127746288664,Monument,18.057707694999998,"[15.0, 22.0)",0.0006899127746288665
230,20210901T191859,0.0002158673951001933,Monument,18.057707694999998,"[15.0, 22.0)",0.0007158673951001933
231,20210902T204121,0.0002729318386412184,Monument,15.791983995,"[15.0, 22.0)",0.0007729318386412185
232,20210903T202213,0.000710739632462808,Monument,24.392082685,"[22.0, 30.0)",0.001210739632462808
233,20210904T200306,0.0006949115326404023,Monument,23.124365,"[22.0, 30.0)",0.0011949115326404022
234,20210906T210619,9.838247926827473e-05,Monument,29.785975484999987,"[22.0, 30.0)",0.0005983824792682748
235,20210907T204711,0.001285829438303845,Monument,52.018016079999995,"[52.0, 60.0)",0.001785829438303845
236,20210909T200855,0.001193355078639894,Monument,30.48619795,"[30.0, 38.0)",0.001693355078639894
237,20210911T211209,8.729667969061007e-05,Monument,13.633180405,"[8.0, 15.0)",0.0005872966796906101
238,20210912T205300,0.0004033893628725764,Monument,34.25488145,"[30.0, 38.0)",0.0009033893628725765
239,20210912T191131,0.0001403784192705361,Monument,34.25488145,"[30.0, 38.0)",0.0006403784192705361
240,20210913T203352,0.0004069573708083597,Monument,17.25685593,"[15.0, 22.0)",0.0009069573708083597
241,20210914T201444,0.0003630002501208152,Monument,21.71704761,"[15.0, 22.0)",0.0008630002501208152
242,20210731T210309,0.0004626148663553355,RiverComplex,18.99113055,"[15.0, 22.0)",0.0009626148663553354
243,20210801T204403,0.002716368355285611,RiverComplex,40.71422817,"[38.0, 45.0)",0.003216368355285611
244,20210802T202458,0.001877987835244617,RiverComplex,46.863853195000004,"[45.0, 52.0)",0.002377987835244617
245,20210805T192740,8.211147881335595e-05,RiverComplex,15.532683355,"[15.0, 22.0)",0.000582111478813356
