yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,CO_DACOM
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,45.0,42222.96024305555,47.929791,-116.538012,402.7,7467.0,94.93
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,46.0,42222.96025462963,47.929954,-116.54024,402.54,7471.0,94.78
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,47.0,42222.96026620371,47.930114,-116.542472,402.35,7475.0,94.74
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,48.0,42222.960277777776,47.930271,-116.544706,402.13,7479.0,94.54
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,49.0,42222.96028935185,47.930427,-116.546943,401.9,7483.0,94.14
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,50.0,42222.96030092592,47.930582,-116.549183,401.68,7487.0,94.39
20190807,2019-08-07,2019.0,8.0,7.0,23.0,2.0,51.0,42222.9603125,47.930737,-116.551426,401.47,7491.0,94.46
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,22.0,42222.9606712963,47.935131,-116.622373,396.0,7590.0,91.29
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,23.0,42222.96068287037,47.935164,-116.624726,395.88,7593.0,91.2
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,24.0,42222.960694444446,47.935184,-116.627082,395.78,7595.0,90.99
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,25.0,42222.96070601852,47.935191,-116.629443,395.64,7597.0,90.29
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,26.0,42222.96071759259,47.935187,-116.631807,395.52,7599.0,90.59
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,27.0,42222.96072916667,47.935171,-116.634175,395.4,7602.0,90.48
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,28.0,42222.96074074074,47.935148,-116.636545,395.28,7604.0,90.32
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,29.0,42222.960752314815,47.935119,-116.638919,395.16,7606.0,90.23
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,30.0,42222.96076388889,47.935087,-116.641296,395.04,7607.0,90.11
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,31.0,42222.96077546296,47.935053,-116.643677,394.94,7609.0,90.24
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,32.0,42222.96078703704,47.935015,-116.646062,394.84,7611.0,90.36
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,33.0,42222.96079861111,47.934977,-116.648449,394.73,7613.0,90.59
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,34.0,42222.96081018519,47.934937,-116.650839,394.65,7615.0,90.71
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,35.0,42222.96082175926,47.934897,-116.653232,394.53,7618.0,90.75
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,36.0,42222.96083333333,47.934858,-116.655628,394.41,7620.0,90.17
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,37.0,42222.96084490741,47.934818,-116.658027,394.27,7623.0,90.7
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,38.0,42222.960856481484,47.934779,-116.660428,394.15,7625.0,91.17
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,39.0,42222.960868055554,47.93474,-116.662831,394.02,7628.0,91.31
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,40.0,42222.96087962963,47.9347,-116.665237,393.86,7631.0,91.71
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,41.0,42222.9608912037,47.934661,-116.667646,393.71,7634.0,92.05
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,42.0,42222.96090277778,47.934621,-116.670057,393.56,7637.0,92.31
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,43.0,42222.960914351854,47.934581,-116.67247,393.4,7640.0,91.97
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,44.0,42222.96092592592,47.934541,-116.674886,393.22,7642.0,91.68
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,45.0,42222.9609375,47.934499,-116.677304,393.1,7644.0,92.07
20190807,2019-08-07,2019.0,8.0,7.0,23.0,3.0,46.0,42222.96094907408,47.934457,-116.679724,393.01,7645.0,92.91
