yyyymmdd,yyyy-mm-dd,year,month,day,hour,minute,second,julfrac,Latitude,Longitude,Static_Pressure,MSL_GPS_Altitude,NO2_CL
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,2.0,42222.96252314815,47.940596,-117.006787,393.9,7628.0,0.01451
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,3.0,42222.96253472223,47.940823,-117.009127,393.88,7627.0,0.01293
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,4.0,42222.96254629629,47.941054,-117.011441,393.9,7627.0,0.00236
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,5.0,42222.96255787037,47.941292,-117.013753,393.9,7627.0,0.03304
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,6.0,42222.96256944445,47.941534,-117.016064,393.91,7628.0,-0.00359
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,7.0,42222.96258101852,47.941778,-117.018372,393.91,7628.0,0.01944
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,8.0,42222.962592592594,47.942022,-117.020657,393.88,7629.0,0.04988
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,9.0,42222.96260416666,47.94227,-117.022986,393.86,7629.0,0.05945
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,10.0,42222.96261574074,47.942518,-117.025291,393.83,7630.0,0.03347
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,11.0,42222.96262731482,47.942767,-117.027595,393.81,7630.0,0.05357
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,12.0,42222.96263888889,47.943016,-117.029898,393.8,7631.0,-0.017
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,13.0,42222.96265046296,47.943264,-117.032201,393.78,7631.0,0.05218
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,14.0,42222.96266203704,47.943508,-117.034479,393.73,7632.0,-0.01083
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,15.0,42222.96267361111,47.943758,-117.036803,393.69,7632.0,0.02462
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,16.0,42222.96268518519,47.944005,-117.039104,393.66,7632.0,0.00948
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,17.0,42222.962696759256,47.944253,-117.041404,393.68,7632.0,0.00077
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,18.0,42222.96270833333,47.944502,-117.043703,393.69,7631.0,-0.00463
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,19.0,42222.96271990741,47.944753,-117.046001,393.69,7631.0,0.00934
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,20.0,42222.96273148148,47.945003,-117.048275,393.71,7631.0,-0.0168
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,21.0,42222.96274305556,47.945259,-117.050595,393.73,7630.0,0.0277
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,22.0,42222.96275462963,47.945513,-117.052891,393.76,7630.0,-0.00851
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,23.0,42222.9627662037,47.94577,-117.055186,393.81,7629.0,0.09328
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,24.0,42222.96277777778,47.946027,-117.05748,393.85,7629.0,0.04628
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,25.0,42222.962789351855,47.946285,-117.059774,393.88,7628.0,0.04649
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,26.0,42222.962800925925,47.946542,-117.062044,393.9,7628.0,0.05598
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,27.0,42222.9628125,47.946804,-117.064358,393.91,7628.0,0.03484
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,28.0,42222.96282407407,47.947065,-117.066649,393.93,7628.0,-0.01815
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,29.0,42222.96283564815,47.947326,-117.068939,393.93,7628.0,0.01806
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,30.0,42222.96284722223,47.947588,-117.071228,393.91,7628.0,0.04301
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,31.0,42222.96285879629,47.947849,-117.073516,393.9,7629.0,0.02684
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,32.0,42222.96287037037,47.948111,-117.075803,393.88,7629.0,0.0081
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,33.0,42222.96288194445,47.948373,-117.078089,393.85,7630.0,0.00356
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,34.0,42222.96289351852,47.948635,-117.080375,393.81,7630.0,0.03019
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,35.0,42222.962905092594,47.948897,-117.082659,393.81,7630.0,0.07838
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,36.0,42222.96291666666,47.949159,-117.084943,393.8,7631.0,0.01524
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,37.0,42222.96292824074,47.94942,-117.087226,393.76,7631.0,-0.00093
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,38.0,42222.96293981482,47.94968,-117.089486,393.73,7631.0,0.02892
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,39.0,42222.96295138889,47.949946,-117.091791,393.73,7631.0,0.03256
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,40.0,42222.96296296296,47.950208,-117.094073,393.73,7631.0,0.02129
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,41.0,42222.96297453704,47.950471,-117.096354,393.71,7631.0,-0.00159
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,42.0,42222.96298611111,47.950735,-117.098634,393.71,7631.0,0.03374
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,43.0,42222.96299768519,47.950999,-117.100914,393.73,7631.0,-0.01186
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,44.0,42222.963009259256,47.951261,-117.10317,393.76,7631.0,-0.00063
20190807,2019-08-07,2019.0,8.0,7.0,23.0,6.0,45.0,42222.96302083333,47.951529,-117.105472,393.76,7630.0,-0.0051
